claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
18274,54,F,1,57,39914,1,0,Own,80101,10/1/2016,Saturday,Local,2,0,91,Broker,1,7142.981739,6,Compact,20607.55508,gray,32728.41008,0
18275,46,M,1,86,38303,0,1,Rent,20159,5/31/2016,Tuesday,Local,0,0,75,Phone,0,3260.458601,9,Large,37688.29222,white,5076.842644,1
18276,45,F,0,86,38059,1,1,Rent,85004,7/4/2015,Saturday,Highway,0,1,50,Broker,1,5604.870102,3,Medium,17990.03084,blue,36384.97536,0
18277,45,M,0,86,38032,1,1,Rent,20117,1/17/2015,Saturday,Highway,1,0,1,Phone,0,6584.110998,7,Compact,9607.586256,other,21502.62774,0
18279,44,M,0,78,37848,1,1,Own,15028,12/18/2016,Sunday,Highway,0,0,99,Broker,0,6016.178547,8,Medium,26147.78505,gray,29789.54217,0
18280,27,M,1,77,32949,1,0,Own,85076,7/8/2016,Friday,Parking Lot,0,0,92,Online,0,4700.333447,5,Compact,28144.57585,silver,27810.35392,0
18281,37,M,1,87,36101,1,1,Own,15035,3/14/2016,Monday,Highway,0,0,17,Phone,0,5287.53034,4,Compact,12107.02767,blue,17375.28453,0
18282,58,F,1,70,40592,1,1,Own,85001,6/2/2015,Tuesday,Highway,0,0,41,Online,0,6118.667543,6,Large,13607.87914,white,36109.00297,0
18284,44,M,1,85,37860,1,0,Own,80021,8/24/2015,Monday,Local,0,0,49,Broker,0,3467.949857,5,Compact,34051.06043,other,10613.93089,0
18286,41,M,1,83,37114,1,1,Own,85026,8/25/2015,Tuesday,Local,1,0,23,Broker,1,2314.002518,5,Medium,23120.8325,blue,25110.13556,0
18287,28,M,1,74,33335,1,1,Rent,20101,1/22/2015,Thursday,Parking Lot,1,0,85,Broker,1,9330.054126,6,Medium,20624.1392,white,42681.95611,0
18289,28,M,1,68,33323,1,1,Rent,80021,9/11/2016,Sunday,Parking Lot,3,1,0,Broker,1,6924.361696,7,Medium,20733.5039,red,8502.68455,0
18290,20,F,1,65,29958,1,0,Rent,15025,4/10/2015,Friday,Highway,2,0,64,Phone,1,2997.883886,8,Medium,46330.46377,blue,30508.76533,0
18292,39,M,1,90,36633,0,1,Rent,80002,6/11/2016,Saturday,Local,0,0,99,Broker,0,6230.334936,3,Compact,7884.91907,blue,28597.9068,0
18294,39,M,0,86,36647,0,1,Own,85017,6/23/2015,Tuesday,Local,0,0,37,Phone,1,2058.649094,8,Large,17717.68874,other,34289.75121,1
18295,37,F,1,76,36106,0,0,Own,80010,12/19/2015,Saturday,Parking Lot,3,0,38,Broker,1,5240.204094,5,Compact,29838.78833,blue,42583.75085,0
18296,50,M,0,91,39132,0,1,Own,50013,3/16/2016,Wednesday,Local,0,1,50,Phone,1,4486.802555,5,Large,35336.47342,red,39883.83826,0
18297,51,F,1,94,39312,1,0,Own,15052,1/18/2015,Sunday,Local,0,0,2,Broker,1,3476.409424,5,Large,33733.72888,white,12918.11851,0
18298,51,M,0,36,39321,0,1,Rent,50013,1/16/2016,Saturday,Local,2,1,16,Phone,1,2608.903377,7,Large,18172.00507,silver,37356.85168,0
18300,34,F,0,80,35271,1,1,Rent,50013,10/23/2015,Friday,Parking Lot,0,0,50,Broker,0,1901.731466,6,Medium,11002.19674,black,7503.21171,1
18302,34,F,0,53,35260,1,0,Rent,20117,10/4/2015,Sunday,Local,0,0,93,Phone,1,5162.134395,3,Large,17867.08029,white,6053.715379,0
18303,23,M,1,83,31345,0,1,Rent,20160,8/18/2015,Tuesday,Local,0,1,62,Online,1,4307.148133,2,Large,17301.36689,other,13518.74492,0
18304,45,F,1,84,38073,1,1,Own,20165,5/24/2016,Tuesday,Parking Lot,0,1,50,Phone,1,8275.268866,1,Compact,22313.65742,blue,19437.0416,0
18305,50,F,1,56,39119,1,0,Own,20111,2/1/2016,Monday,Local,2,0,44,Broker,1,4545.528436,3,Compact,12716.61242,silver,23349.87906,0
18306,42,F,1,57,37382,0,0,Own,20139,10/23/2016,Sunday,Local,5,0,99,Broker,1,8868.249711,9,Medium,15936.27107,blue,31484.74482,1
18307,24,F,0,61,31797,1,0,Rent,15025,1/5/2015,Monday,Parking Lot,0,0,9,Phone,0,6942.339846,3,Compact,32437.92242,black,4526.236406,0
18309,47,M,1,59,38488,1,1,Rent,20120,2/25/2015,Wednesday,Parking Lot,0,0,72,Broker,1,3205.428655,6,Medium,50455.66572,silver,7868.929147,0
18312,91,M,1,81,45097,1,1,Rent,15057,3/8/2015,Sunday,Highway,0,0,63,Phone,1,4039.382182,5,Large,61579.62079,other,30544.53131,0
18314,40,M,0,62,36908,1,1,Rent,20151,10/30/2016,Sunday,Highway,0,1,2,Broker,1,5560.572921,9,Large,8606.734036,white,64919.71662,0
18315,45,M,0,85,38058,1,1,Own,50025,4/29/2016,Friday,Local,1,0,73,Broker,0,3336.370473,5,Compact,31261.1234,red,22561.51834,0
18318,46,F,1,54,38281,0,1,Own,15030,6/21/2015,Sunday,Local,1,0,65,Phone,1,2253.361624,7,Large,53467.56285,other,15755.32803,1
18320,35,F,1,57,35543,1,1,Own,50010,7/14/2015,Tuesday,Parking Lot,2,1,59,Broker,1,2938.817754,5,Medium,11971.79386,black,12254.04353,1
18322,41,M,1,80,37136,1,0,Rent,50025,4/8/2015,Wednesday,Local,0,0,0,Phone,1,3358.00121,7,Large,19415.48077,red,14248.23518,0
18324,28,M,1,55,33328,0,0,Rent,80038,7/11/2016,Monday,Highway,1,0,99,Online,0,4087.128989,4,Compact,21704.64551,red,8605.191588,0
18326,38,M,0,80,36376,1,1,Own,85072,7/31/2016,Sunday,Highway,0,0,0,Phone,1,2474.447791,2,Compact,13200.43582,silver,34223.72798,0
18327,57,F,1,94,40416,0,1,Rent,85068,11/12/2015,Thursday,Highway,2,0,5,Broker,1,5617.239284,7,Compact,32790.02992,gray,8505.11303,0
18330,50,M,1,88,39101,1,1,Own,15035,5/17/2015,Sunday,Local,0,0,51,Phone,0,4482.004039,7,Large,20738.9919,blue,29159.59289,0
18331,41,M,1,80,37130,0,0,Own,20109,9/30/2016,Friday,Local,1,1,97,Broker,0,7020.207661,8,Compact,21991.45874,other,35089.12504,0
18334,65,F,1,79,41740,0,1,Rent,85078,3/15/2015,Sunday,Local,0,1,13,Phone,1,6611.299539,10,Large,12435.00915,black,27708.02365,0
18335,59,F,1,78,40784,1,1,Rent,85011,7/24/2016,Sunday,Highway,0,0,73,Broker,1,4721.959326,7,Large,18734.6796,white,26147.95216,0
18336,26,M,0,46,32572,0,0,Rent,20151,5/16/2016,Monday,Local,0,1,83,Online,0,4812.656503,3,Large,13184.46657,other,18997.05899,0
18338,44,F,0,84,37838,1,1,Own,50009,7/28/2016,Thursday,Local,0,0,50,Broker,1,3342.52135,8,Medium,19663.51683,red,10784.6571,1
18339,33,F,1,72,34965,1,0,Own,15022,4/25/2016,Monday,Highway,4,1,23,Phone,1,3512.307738,5,Large,26604.42385,silver,25978.96045,0
18341,35,M,1,82,35546,1,0,Rent,85082,11/20/2016,Sunday,Parking Lot,0,0,57,Broker,1,6881.783867,1,Medium,28754.73373,gray,29016.93453,0
18342,62,F,1,65,41286,0,0,Rent,15025,5/8/2015,Friday,Local,0,0,12,Phone,0,7075.385707,4,Compact,21243.2088,silver,21889.87752,0
18343,39,F,1,84,36629,1,1,Own,20156,9/27/2015,Sunday,Parking Lot,1,0,7,Broker,1,6116.336815,5,Large,19232.80945,other,8536.869284,0
18344,48,M,1,87,38724,1,1,Rent,15005,11/28/2016,Monday,Highway,0,0,50,Phone,0,3172.214599,7,Large,10042.23457,gray,27353.61863,0
18346,26,F,1,74,32581,1,1,Rent,15045,5/25/2015,Monday,Local,0,0,78,Online,1,3732.637232,4,Large,14251.06856,other,32475.30296,1
18347,34,M,1,88,35261,1,0,Rent,50047,11/6/2015,Friday,Parking Lot,0,1,18,Broker,0,8184.499913,6,Medium,35770.61759,white,18770.47315,0
18348,32,F,1,78,34657,1,1,Own,20104,9/20/2015,Sunday,Parking Lot,3,0,97,Phone,1,2176.7362,5,Compact,34316.85142,red,11280.06653,0
18352,46,F,0,91,38294,1,1,Rent,80006,5/27/2015,Wednesday,Highway,0,1,97,Broker,1,1226.625672,4,Large,32182.42445,silver,8545.816767,0
18355,30,F,0,63,34017,1,1,Rent,80012,4/12/2015,Sunday,Local,0,0,14,Broker,1,3519.128217,4,Large,13094.68755,other,32286.10887,0
18357,43,M,1,74,37604,1,0,Own,20147,4/8/2016,Friday,Highway,0,0,3,Broker,0,10801.25865,0,Large,10486.60701,other,19346.14304,0
18359,44,M,0,58,37836,0,0,Rent,50023,12/10/2015,Thursday,Parking Lot,1,1,50,Phone,1,6906.649866,6,Medium,53018.10549,other,12432.1227,0
18360,43,F,1,72,37616,1,1,Own,20140,4/16/2016,Saturday,Local,1,0,97,Broker,0,7132.116476,5,Compact,16973.51822,gray,24080.70294,1
18361,70,M,0,82,42487,1,1,Rent,50025,8/4/2015,Tuesday,Local,0,1,1,Phone,1,3445.302255,6,Large,50117.23468,gray,6497.784383,1
18362,77,M,1,75,43436,1,1,Rent,80014,3/3/2015,Tuesday,Highway,0,0,50,Broker,1,2187.164968,7,Compact,13293.64483,black,18262.26182,1
18363,50,M,1,87,39097,1,0,Own,20134,5/21/2016,Saturday,Highway,1,1,9,Broker,1,4282.478197,7,Large,25341.75975,gray,18629.28065,0
18365,46,M,1,80,38292,1,1,Rent,20107,4/3/2016,Sunday,Local,0,0,1,Broker,1,2980.255589,4,Large,23294.666,other,8763.713449,0
18366,50,F,1,68,39090,0,0,Own,50001,7/9/2016,Saturday,Local,0,1,67,Phone,0,3382.487065,5,Compact,28327.07534,black,32513.60339,1
18367,73,M,1,74,42915,1,1,Rent,50037,7/10/2016,Sunday,Highway,0,0,62,Broker,1,3126.350937,0,Large,60970.21434,red,8506.313925,0
18369,33,F,1,91,34980,1,0,Rent,20134,5/2/2016,Monday,Local,0,0,19,Phone,1,3851.196227,1,Large,14743.61767,white,9591.416665,0
18371,38,M,0,84,36383,1,0,Own,20121,6/23/2015,Tuesday,Local,0,0,72,Broker,1,3289.294262,2,Medium,12463.45906,black,21432.82597,0
18372,38,M,0,71,36377,1,1,Rent,20104,3/23/2015,Monday,Local,0,0,52,Phone,1,6909.060073,6,Medium,19513.34306,red,27508.31682,1
18374,45,M,1,77,38058,1,1,Own,50047,10/12/2016,Wednesday,Highway,0,0,99,Broker,0,5219.496537,9,Large,8266.633106,red,30341.72054,0
18375,69,M,1,55,42336,0,1,Own,80102,5/31/2015,Sunday,Parking Lot,0,0,50,Broker,0,13469.63644,3,Medium,15336.0009,black,17980.33813,0
18376,48,M,1,60,38729,1,1,Rent,80020,8/19/2015,Wednesday,Local,0,1,100,Phone,1,5134.806959,5,Compact,21293.1751,red,8645.539568,0
18377,38,F,1,78,36393,1,0,Own,50037,10/23/2016,Sunday,Local,3,1,30,Broker,1,5271.986718,3,Medium,37671.05425,gray,14366.84089,0
18378,41,M,1,90,37144,0,1,Rent,50058,4/21/2015,Tuesday,Local,0,1,32,Phone,0,8710.152885,7,Medium,37174.13006,other,12739.89614,0
18379,34,F,0,72,35257,1,1,Own,15009,1/20/2015,Tuesday,Local,0,0,1,Phone,0,3396.033277,5,Medium,18164.64864,other,18637.21144,0
18382,29,M,1,76,33672,1,0,Rent,50027,2/5/2016,Friday,Local,1,0,34,Online,1,3041.169655,5,Large,22930.81204,silver,20078.02202,0
18384,50,M,0,73,39120,0,1,Rent,50034,11/17/2016,Thursday,Highway,1,0,47,Broker,1,5780.853172,2,Large,17289.11635,blue,13990.51342,0
18385,37,M,0,52,36106,1,1,Own,20122,6/22/2016,Wednesday,Local,3,0,7,Phone,1,4371.100634,2,Compact,16210.60991,black,24733.41471,1
18392,47,F,0,90,38503,0,0,Own,80030,12/8/2015,Tuesday,Local,0,0,91,Broker,0,3805.127725,2,Compact,14250.59457,red,10402.26115,1
18394,48,M,0,83,38707,1,1,Own,85079,1/3/2015,Saturday,Local,0,0,90,Phone,0,8246.760825,6,Large,21067.94205,red,16605.00704,1
18395,47,M,0,83,38505,1,1,Own,20115,2/13/2015,Friday,Highway,5,1,38,Broker,1,5302.431313,3,Compact,22002.25757,other,49441.252,0
18396,52,M,1,78,39535,1,1,Rent,85065,7/6/2016,Wednesday,Parking Lot,0,0,22,Broker,0,6705.594085,13,Compact,12871.66641,other,24475.97133,0
18399,45,F,1,49,38080,1,0,Own,15012,5/23/2016,Monday,Highway,0,1,38,Phone,0,2028.363465,7,Large,10697.23911,red,4317.871602,0
18401,28,M,1,83,33343,0,0,Rent,20151,4/26/2016,Tuesday,Highway,1,0,38,Online,1,3295.878958,5,Large,27163.86399,black,20610.64284,1
18403,28,M,1,40,33311,1,1,Own,20111,2/5/2015,Thursday,Parking Lot,0,0,100,Online,0,4514.061826,5,Large,15213.55655,white,14920.4007,0
18405,78,M,1,67,43557,1,0,Own,50021,7/8/2016,Friday,Parking Lot,0,0,48,Broker,1,7451.734157,7,Medium,8751.025965,blue,15374.26256,0
18406,62,M,1,66,41277,1,0,Rent,80022,7/23/2015,Thursday,Local,3,0,0,Phone,1,6055.47736,6,Medium,19157.634,white,14602.74027,0
18407,23,F,0,81,31351,1,1,Rent,15044,1/9/2015,Friday,Highway,0,1,1,Phone,1,3282.170527,5,Compact,14495.7173,gray,6792.214989,0
18409,42,F,1,79,37375,1,1,Rent,85067,3/25/2015,Wednesday,Local,0,1,5,Broker,0,2337.532176,2,Compact,43939.76181,gray,21326.98565,0
18410,41,M,1,81,37126,1,1,Own,80025,3/27/2016,Sunday,Parking Lot,0,0,70,Phone,0,3999.733227,2,Large,29996.96242,white,24606.75393,0
18411,28,F,1,77,33322,1,1,Rent,80011,11/9/2015,Monday,Local,1,0,43,Online,0,3434.09154,11,Medium,13914.96024,blue,17394.96404,1
18415,62,M,0,53,41275,0,1,Own,80022,6/3/2015,Wednesday,Highway,0,0,61,Phone,1,4209.878122,6,Compact,50561.56605,other,20662.32325,0
18417,30,F,1,84,34019,1,0,Own,80012,8/24/2015,Monday,Local,0,0,83,Broker,0,4520.888429,5,Compact,12524.92994,white,17937.29392,0
18418,45,M,1,60,38051,0,1,Own,80010,3/20/2016,Sunday,Parking Lot,4,0,66,Broker,1,4042.408041,4,Medium,38803.50067,other,32709.13932,1
18419,39,F,1,73,36631,1,0,Rent,80031,3/11/2015,Wednesday,Local,0,0,84,Broker,0,7554.873226,4,Medium,39060.98676,gray,10809.15775,0
18422,61,F,1,66,41115,1,1,Rent,20105,9/25/2015,Friday,Highway,0,1,4,Broker,0,4237.964825,5,Medium,12570.3286,black,11822.61463,0
18423,27,M,1,79,32958,1,1,Rent,20164,6/8/2015,Monday,Local,0,1,13,Online,1,10178.72608,4,Large,19698.43344,blue,16229.87982,0
18424,24,M,1,81,31782,0,0,Rent,80026,6/30/2015,Tuesday,Local,0,0,61,Phone,1,3485.415338,5,Medium,32046.73183,black,18417.40406,0
18425,45,M,0,70,38069,0,0,Own,85041,6/6/2016,Monday,Local,0,0,50,Phone,1,2869.36164,8,Medium,29537.57478,white,28163.04774,1
18426,29,F,1,79,33670,1,0,Rent,50020,4/17/2015,Friday,Local,1,0,21,Online,1,5183.828799,3,Large,127063.506,other,23182.37424,0
18427,34,M,1,86,35269,1,1,Rent,50040,11/1/2016,Tuesday,Highway,0,0,51,Phone,0,1268.994697,6,Compact,14082.44712,black,13291.42099,0
18428,29,M,1,85,33649,1,0,Rent,20102,3/23/2016,Wednesday,Local,0,1,0,Online,0,2832.62489,8,Compact,19388.47342,black,43819.20027,0
18430,29,M,0,91,33673,0,1,Rent,50048,10/28/2016,Friday,Local,0,1,1,Online,1,2297.259356,4,Medium,13381.8139,blue,27743.83214,0
18431,54,M,1,84,39894,1,0,Rent,85077,4/17/2015,Friday,Highway,0,0,0,Online,0,4293.991116,6,Large,19252.88665,black,17876.98788,0
18433,43,M,1,86,37620,0,1,Own,80021,1/5/2015,Monday,Highway,2,0,100,Phone,0,5583.244523,1,Large,15849.18191,red,17002.45827,0
18434,49,F,0,84,38920,1,1,Rent,20155,4/1/2015,Wednesday,Highway,0,0,92,Broker,0,4855.832982,10,Large,8891.442645,silver,26367.77768,0
18435,41,M,0,68,37127,1,0,Own,50008,1/9/2016,Saturday,Local,0,0,84,Phone,0,8288.882819,7,Large,8980.029196,gray,21203.10633,1
18438,59,F,0,90,40777,1,1,Own,85042,1/20/2015,Tuesday,Local,1,0,50,Phone,1,3682.406252,6,Compact,33054.65061,red,29250.35012,0
18442,57,M,0,51,40425,1,0,Own,50025,9/30/2015,Wednesday,Highway,3,0,19,Phone,0,4099.883097,3,Compact,25909.97937,silver,53089.97159,0
18443,44,M,1,58,37847,1,0,Own,50003,3/29/2015,Sunday,Local,5,1,99,Phone,1,1755.03773,4,Large,8797.204469,other,23109.15187,0
18444,33,F,1,92,34960,0,1,Own,80036,7/4/2016,Monday,Highway,0,0,1,Broker,0,4511.947944,3,Compact,8403.916281,silver,20376.39775,0
18446,39,F,0,78,36647,1,1,Own,80019,6/6/2016,Monday,Local,3,1,66,Phone,1,4773.488839,6,Medium,64643.70492,other,20220.96691,0
18447,34,M,1,69,35268,1,1,Own,50025,6/13/2016,Monday,Parking Lot,0,0,37,Phone,0,3328.292046,12,Compact,57664.06729,silver,12437.46069,0
18448,49,M,1,87,38909,1,1,Rent,15042,11/25/2015,Wednesday,Local,2,0,62,Broker,1,5909.271101,5,Medium,37507.26792,red,36848.01739,0
18450,70,F,1,81,42482,0,0,Rent,20132,12/10/2016,Saturday,Local,0,1,83,Broker,1,6295.550311,5,Large,20352.32135,white,5783.087613,0
18451,42,F,1,61,37361,1,1,Rent,85074,8/13/2015,Thursday,Local,0,NA,23,Broker,1,9038.602417,4,Medium,13444.23468,white,34074.59879,0
18452,59,F,1,71,40780,0,1,Own,15018,10/26/2015,Monday,Local,1,0,96,Phone,0,3224.874091,6,Large,23290.91049,gray,40313.13792,0
18453,31,F,1,87,34337,1,0,Own,85071,11/6/2015,Friday,Highway,0,1,98,Phone,0,4354.72069,3,Medium,11262.01656,black,13933.54615,0
18456,32,M,1,70,34650,1,0,Own,50010,11/17/2015,Tuesday,Highway,2,0,98,Online,0,5325.228954,7,Large,12511.37938,red,43945.75782,0
18458,40,F,1,86,36880,1,1,Own,50012,11/5/2015,Thursday,Local,0,0,11,Phone,0,9612.46269,8,Medium,25322.82512,red,33401.792,1
18459,34,F,0,86,35261,1,0,Rent,20101,3/2/2015,Monday,Highway,0,0,31,Broker,0,4409.333158,3,Large,35873.51106,black,23068.48514,0
18462,39,M,1,53,36638,1,1,Rent,80005,3/21/2016,Monday,Local,2,0,68,Phone,1,4214.787845,9,Large,29524.02319,red,31588.97118,0
18463,21,F,1,71,30450,1,0,Rent,20151,9/12/2016,Monday,Local,1,0,51,Online,0,3318.539155,6,Large,7267.245415,white,16164.99994,0
18464,39,M,1,89,36638,1,0,Own,50057,10/15/2015,Thursday,Highway,1,0,28,Broker,1,9657.571435,2,Large,17279.3596,red,22038.07798,1
18465,67,M,1,73,42047,1,1,Rent,85004,7/16/2016,Saturday,Highway,0,1,86,Phone,1,7380.08997,6,Compact,16310.3279,white,14077.06308,0
18467,54,F,1,88,39887,0,1,Own,15043,8/30/2016,Tuesday,Local,0,0,49,Broker,0,4280.769605,3,Medium,32536.45193,gray,22284.61147,0
18469,40,M,1,90,36881,0,1,Own,15025,7/25/2016,Monday,Parking Lot,2,0,47,Broker,1,4002.729555,6,Medium,10422.32735,black,17428.69219,0
18470,58,M,1,87,40601,1,1,Rent,15001,5/8/2015,Friday,Parking Lot,0,0,50,Phone,1,3955.079058,6,Medium,12782.15129,black,23738.20693,0
18471,36,M,0,91,35824,0,1,Rent,15010,9/22/2016,Thursday,Local,2,1,98,Broker,1,6833.41856,3,Medium,35012.60815,black,11044.76296,0
18472,33,F,0,72,34944,0,1,Own,20115,8/10/2016,Wednesday,Local,0,1,93,Broker,0,2665.070514,10,Medium,17533.72752,red,19831.81365,0
18474,49,M,0,90,38912,1,0,Own,85001,10/10/2016,Monday,Local,0,1,1,Phone,0,4213.756895,4,Large,24779.5724,silver,14844.80957,0
18477,22,F,0,81,30908,1,0,Rent,80027,9/18/2015,Friday,Parking Lot,0,0,98,Online,0,7784.952376,0,Compact,40917.81731,silver,31432.19932,0
18478,31,M,1,78,34331,0,1,Rent,50031,1/23/2015,Friday,Parking Lot,0,0,99,Broker,1,2518.217251,8,Compact,24738.51071,red,23575.74339,0
18479,36,F,1,90,35848,1,1,Own,20163,11/26/2016,Saturday,Local,0,1,77,Online,1,1558.533576,6,Compact,9169.833487,silver,12526.53022,0
18480,36,F,1,76,35838,0,0,Own,50029,1/7/2015,Wednesday,Local,0,1,1,Broker,1,2208.898289,8,Compact,17979.20801,gray,41553.58761,0
18481,65,F,1,78,41736,0,0,Own,80101,11/8/2016,Tuesday,Local,3,0,27,Phone,1,7065.988622,5,Medium,20842.16435,blue,7873.301057,0
18484,47,F,1,66,38499,1,1,Rent,80007,7/3/2015,Friday,Local,3,1,64,Phone,1,4025.555855,4,Large,11149.61903,red,41247.24152,1
18485,23,M,1,78,31355,1,1,Rent,85021,6/24/2016,Friday,Local,0,1,94,Online,0,4976.242947,5,Compact,23615.95772,red,22865.52441,0
18487,54,F,1,84,39882,1,1,Own,85075,9/12/2016,Monday,Highway,0,0,46,Broker,1,2211.080966,2,Large,23845.53244,red,12184.49177,0
18488,33,M,0,84,34948,1,1,Own,20103,10/28/2016,Friday,Highway,0,0,74,Broker,0,5119.973738,3,Medium,11886.62259,gray,19543.0542,0
18489,36,M,1,81,35835,0,0,Own,80014,1/24/2016,Sunday,Local,1,0,50,Phone,1,2919.076606,6,Large,15585.26211,white,15054.14186,0
18490,46,F,0,85,38283,0,1,Rent,85026,7/15/2015,Wednesday,Local,2,0,100,Phone,1,4395.965934,6,Medium,20271.57199,black,21614.30695,1
18495,26,F,1,45,32583,1,0,Rent,80023,6/26/2015,Friday,Parking Lot,0,0,4,Phone,1,5691.418634,3,Compact,9642.274145,other,13666.85562,0
18497,64,M,1,53,41581,1,1,Own,50025,3/4/2016,Friday,Local,3,1,23,Online,1,5772.903549,7,Compact,14666.83781,red,11573.73094,0
18499,49,M,0,84,38930,0,1,Own,20117,9/14/2016,Wednesday,Parking Lot,1,0,6,Broker,1,5745.963265,3,Compact,17687.74604,other,15393.94176,0
18500,66,F,1,84,41906,0,1,Own,20132,5/10/2016,Tuesday,Local,0,0,60,Phone,0,7727.05188,5,Large,28144.32988,black,29732.24027,1
18501,43,M,1,81,37599,1,1,Own,80034,10/26/2016,Wednesday,Parking Lot,0,0,22,Broker,0,6273.748782,9,Large,18740.04786,other,46534.5704,0
18503,40,M,0,87,36894,1,0,Own,20102,7/31/2015,Friday,Local,0,0,88,Phone,1,4705.903271,4,Large,28459.7002,other,50033.30821,1
18504,25,M,0,68,32196,0,1,Rent,85072,2/7/2015,Saturday,Parking Lot,0,0,5,Online,1,4727.20614,3,Medium,15617.09343,other,10437.14264,0
18505,38,F,1,62,36374,0,0,Own,50026,12/28/2015,Monday,Highway,0,0,50,Phone,1,6844.667302,6,Large,19607.97603,red,10303.83892,1
18506,42,M,0,86,37368,1,0,Own,80101,4/23/2016,Saturday,Local,0,0,0,Broker,0,5772.495234,12,Medium,23094.85272,silver,34202.32001,0
18507,57,M,1,53,40422,1,0,Own,15050,7/30/2015,Thursday,Local,1,0,0,Broker,1,6158.312969,3,Medium,6347.412122,blue,25934.29176,0
18508,43,F,0,86,37630,0,0,Own,15026,1/3/2016,Sunday,Local,0,0,1,Online,0,10405.95799,5,Large,13866.34635,white,18559.80535,0
18511,26,F,0,45,32583,1,0,Rent,15026,6/19/2015,Friday,Local,0,0,25,Online,0,3493.661363,4,Medium,17170.18715,red,26357.9944,0
18512,64,F,1,47,41577,0,1,Rent,85065,9/15/2015,Tuesday,Local,0,0,6,Broker,1,3657.271311,6,Large,12710.10796,white,14733.35052,0
18513,25,M,0,90,32173,1,1,Rent,50026,12/20/2016,Tuesday,Highway,1,0,72,Online,1,6100.298523,5,Large,18157.41524,red,17272.43206,0
18515,30,F,1,89,34015,1,1,Own,80017,10/27/2016,Thursday,Highway,0,0,1,Phone,1,3105.970807,6,Compact,57387.9676,other,21250.11926,1
18516,37,F,1,73,36103,1,1,Own,80003,9/10/2016,Saturday,Highway,0,1,16,Broker,1,2633.61308,4,Large,21093.76843,red,18585.62125,0
18517,49,F,1,86,38922,1,1,Own,80015,8/15/2015,Saturday,Local,0,0,95,Phone,1,10976.55913,4,Compact,26450.92365,blue,8811.596674,0
18518,58,F,1,83,40592,0,1,Own,15051,4/29/2015,Wednesday,Highway,0,0,32,Broker,1,2929.368323,4,Large,26818.21936,silver,11486.22497,0
18520,49,F,1,84,38936,1,1,Own,15035,7/4/2015,Saturday,Local,0,0,3,Phone,0,4626.522904,5,Large,19342.42391,red,14718.25614,0
18521,42,F,1,82,37371,1,1,Own,80012,12/15/2016,Thursday,Parking Lot,0,0,6,Broker,0,5885.476337,2,Compact,20945.9998,white,27621.7116,0
18522,50,F,1,93,39124,1,0,Own,20160,6/22/2015,Monday,Parking Lot,0,0,95,Broker,1,3834.664917,7,Medium,25262.30961,red,12525.84465,0
18524,36,F,0,96,35825,0,1,Own,15021,4/7/2016,Thursday,Parking Lot,0,0,83,Broker,1,4273.505192,4,Compact,44280.60327,silver,12433.01668,0
18527,38,F,0,72,36364,1,1,Own,80038,5/2/2016,Monday,Local,0,1,67,Broker,1,7932.08632,2,Compact,23178.26502,black,28083.12293,0
18528,33,M,0,46,34970,1,1,Own,50025,12/4/2016,Sunday,Local,1,0,53,Phone,0,8574.52229,4,Large,26561.4803,gray,31518.77843,0
18529,46,F,1,73,38303,1,0,Rent,20106,8/22/2016,Monday,Parking Lot,0,0,9,Phone,1,8684.266184,4,Compact,20227.84731,white,17379.69738,0
18530,54,F,1,69,39884,1,0,Own,15015,6/16/2016,Thursday,Local,0,0,41,Broker,0,7737.470018,5,Large,25178.02251,white,36205.38739,0
18531,29,F,1,86,33652,0,0,Own,80035,9/19/2016,Monday,Parking Lot,1,0,22,Online,1,3497.664972,5,Compact,20173.84353,gray,26485.81655,0
18532,45,M,1,83,38072,1,1,Rent,20102,7/19/2015,Sunday,Parking Lot,1,1,0,Broker,0,3627.496633,5,Compact,8607.407853,red,8796.221671,0
18533,28,F,1,80,33314,1,1,Rent,85051,4/23/2015,Thursday,Highway,1,1,2,Phone,1,2801.846221,7,Large,35885.77873,red,33138.49715,0
18534,50,M,1,74,39133,0,1,Own,80023,4/16/2016,Saturday,Local,0,0,76,Broker,1,4435.892728,9,Large,11447.86925,other,47527.31584,0
18535,48,M,1,93,38722,1,0,Rent,80042,4/22/2015,Wednesday,Parking Lot,0,1,100,Broker,1,2422.696694,6,Compact,27125.22692,silver,5299.132359,0
18537,42,F,1,87,37372,1,1,Own,80005,12/27/2015,Sunday,Parking Lot,1,0,49,Broker,0,1852.097422,7,Medium,7020.01757,white,40884.14279,0
18541,29,M,1,60,33668,1,1,Rent,80002,1/21/2015,Wednesday,Highway,0,0,31,Online,0,3142.187302,7,Large,23716.91694,black,46046.47593,1
18542,48,F,0,73,38723,1,1,Own,85011,5/10/2015,Sunday,Highway,0,0,21,Phone,1,5089.980456,4,Large,3472.863279,other,25818.16134,1
18543,38,M,0,74,36368,1,0,Own,15003,3/10/2016,Thursday,Local,0,0,50,Broker,1,7713.256436,6,Large,28335.08897,white,48119.10604,0
